2,846,1740,1350,11,1,0
1.66,401,1120,1250,10,2,0
1.5,569,1380,1300,9,3,0
1.41,699,1540,1200,8,4,0
1.41,539,1320,950,8,3,1
1.33,798,1500,950,8,4,0
1.25,658,1400,1150,7,4,1
1.25,544,1320,1200,7,4,1
1.25,838,1540,950,7,4,1
1.25,405,1320,850,7,5,0
1.16,425,1200,1100,7,5,0
1.16,604,1340,1050,7,5,0
1.16,539,1280,1000,7,5,0
1.08,398,1280,950,6,5,1
1.08,531,1360,800,6,5,1
1.08,653,1360,800,6,6,0
1.08,465,1220,600,6,5,1
1,716,1340,1200,6,6,0
1,448,1300,950,6,6,0
1,460,1220,800,6,6,0
1,410,1160,750,6,6,0
1,513,1280,600,6,6,0
1,461,1220,600,6,6,0
1,499,1040,550,6,4,0
0.91,206,900,700,5,6,1
0.83,656,1400,700,5,7,0
0.83,270,1120,1000,5,7,0
0.83,510,1400,750,4,7,1
0.83,325,1340,500,5,7,0
0.83,315,1180,600,5,6,0
0.83,210,1060,550,5,7,0
0.83,279,1080,700,5,6,0
0.66,344,1180,500,4,8,0
0.66,440,1100,650,4,8,0
0.58,335,1140,600,3,8,1
0.58,516,1240,350,3,9,1
0.5,285,1080,550,3,9,0
0.5,351,1060,450,3,9,0
0.5,435,1100,400,3,8,0
0.41,285,1160,700,2,9,1
