1.83,320,1380,1100,11,1,0
1.66,300,980,850,10,2,0
1.5,355,1380,700,9,3,0
1.5,460,1060,850,9,3,0
1.41,330,1140,800,8,3,1
1.33,463,1220,750,8,4,0
1.33,330,1180,750,8,4,0
1.33,190,1060,700,7,3,2
1.33,340,1040,500,8,4,0
1.16,385,1200,1050,7,5,0
1.16,649,1240,600,7,5,0
1.16,265,1120,800,7,5,0
1.16,326,980,900,7,5,0
1.16,220,980,750,7,5,0
1.16,375,1000,600,7,5,0
1.08,235,1040,900,6,5,1
1.08,265,1000,650,6,5,1
1,445,1220,600,6,6,0
1,320,1020,700,6,6,0
1,355,1060,550,6,6,0
1,293,1040,450,6,6,0
1,205,940,450,6,6,0
0.91,355,1120,600,5,6,1
0.91,345,1040,350,5,6,1
0.83,205,1140,800,5,7,0
0.83,266,1080,700,5,7,0
0.83,320,1020,700,5,7,0
0.83,155,1060,700,5,7,0
0.83,164,920,600,5,7,0
0.83,359,980,400,5,7,0
0.75,240,960,600,4,7,1
0.75,310,860,500,4,7,1
0.66,250,1080,550,4,8,0
0.66,315,1100,500,4,8,0
0.66,340,940,550,4,8,0
0.58,263,1000,400,3,8,1
0.5,260,1160,300,3,9,0
0.41,163,920,300,2,9,1
0.41,145,880,300,2,9,1
0.33,239,1000,350,2,10,0
